age,log_obs_2000,log_obs_2005,log_obs_2010,log_obs_2015,log_obs_2019,avg_log_obs
22.5,-5.1895976792301415,-5.096885251948115,-5.429887483731228,-5.703520708919841,-5.8422255670963885,-5.452423338185143
27.5,-4.5586694978127,-4.311495405732424,-4.7225078083557035,-5.225524444407963,-5.313386741378314,-4.826316779537421
32.5,-4.317262563974525,-3.9139773138454266,-4.28932837204828,-4.830084429052057,-4.926795052345313,-4.455489546253121
37.5,-4.235170196116553,-3.8243941607775818,-4.099413507646348,-4.600867256880107,-4.734762376040179,-4.298921499492154
42.5,-4.210290573741021,-3.8088813897089997,-4.0434217024369765,-4.44040543523581,-4.60630232661751,-4.221860285548063
47.5,-4.105938148880849,-3.8287406894184746,-3.9881137034227705,-4.3351809120872575,-4.526153666203748,-4.15682542400262
52.5,-3.912861006452945,-3.7569489805865564,-3.9132100096389832,-4.140393254661509,-4.344844151146213,-4.013651480497241
57.5,-3.7519432658368252,-3.6476088050541824,-3.7815826789801155,-3.9633327736356,-4.171423725534378,-3.8631782498082203
62.5,-3.478912996617515,-3.495979809751918,-3.554596424039629,-3.695142385388848,-3.901936990711143,-3.6253137213018105
67.5,-3.247617384643359,-3.223583563902604,-3.312202592934663,-3.395927730694,-3.59036017443763,-3.353938289322451
72.5,-2.883218223543665,-3.0084302527379463,-3.0261641412062508,-3.1333268124459455,-3.316024263234967,-3.0734327386337545
77.5,-2.6834936416690884,-2.6853753056615237,-2.7463097782946746,-2.802751627234656,-2.966802542922916,-2.7769465791565713
83.5,-2.1036115040756185,-2.1489852591402916,-2.17783346116972,-2.234961248864213,-2.3719113879175566,-2.2074605722334804
87.5,-1.5018743941694417,-1.5390761263384394,-1.5518382140300642,-1.5851207654440675,-1.6633618534139316,-1.5682542706791889
